100,1603476,2951233,buy,1511579908
100,2971043,4869428,buy,1511617549
100,598929,2429887,buy,1511759458
100,1046201,3002561,buy,1511767298
100,1606258,4098232,buy,1511789940
100,4840649,1029459,buy,1511790130
100,251391,3738615,buy,1511790782
100,4075065,2881542,buy,1511833877
1000001,4088463,174239,buy,1512264173
1000011,3991727,3108044,buy,1511572004
1000011,404297,2578647,buy,1511603941
100002,2976687,772894,buy,1512043690
1000027,1934938,4718844,buy,1511934933
1000027,3241094,3548883,buy,1512314102
1000028,2621260,722945,buy,1511934727
1000028,1910706,1516409,buy,1512112339
1000028,863811,3338209,buy,1512220119
1000028,3947413,634390,buy,1512267506
1000037,4753136,890050,buy,1511872744
1000037,3233631,890050,buy,1511872788
1000037,4753136,890050,buy,1511959033
1000037,1857072,376030,buy,1512107068
1000037,303755,2550060,buy,1512125344
1000054,3916598,4602841,buy,1511753717
1000054,3643674,1169503,buy,1511958535
1000054,167362,903809,buy,1512014239
1000054,167362,903809,buy,1512214919
1000060,5129067,3695050,buy,1512098875
1000061,1120968,512076,buy,1511705473
1000061,1388090,4134062,buy,1512310380
1000061,3085401,2885642,buy,1512312173
1000070,3716878,3904106,buy,1511847527
1000084,3211011,2885642,buy,1511665661
1000084,2675133,65362,buy,1511750802
1000084,2086401,65362,buy,1511750802
1000084,3350364,3898483,buy,1511753391
1000084,3355175,3947630,buy,1512010996
1000084,3891320,4602841,buy,1512277438
1000084,2425522,2666911,buy,1512285134
1000085,2426361,3164069,buy,1511679514
1000085,1282204,1879672,buy,1511771238
1000085,280390,2633883,buy,1511771239
1000085,697256,3025028,buy,1511771239
1000085,1242107,835895,buy,1511842036
1000085,387031,835895,buy,1511842036
1000085,253113,835895,buy,1511845065
1000085,1242107,835895,buy,1511845365
1000085,387031,835895,buy,1511845365
1000085,228766,381850,buy,1511920207
1000085,4382786,4145813,buy,1511946971
1000085,327684,794153,buy,1512131522
100009,4151948,2895013,buy,1512088415
100009,1329654,2096639,buy,1512178763
1000103,808592,886203,buy,1511608753
1000103,2981175,4643350,buy,1511962974
1000103,642443,2640118,buy,1512284345
1000103,2135175,2640118,buy,1512284346
1000115,2577764,2558204,buy,1511890644
1000115,4752224,1620537,buy,1512201486
1000115,2712827,1620537,buy,1512206500
1000115,3294376,1620537,buy,1512206500
1000115,2712827,1620537,buy,1512206909
1000115,3294376,1620537,buy,1512206909
1000115,2929406,3797203,buy,1512298788
1000134,843421,3536601,buy,1511620370
1000134,843421,3536601,buy,1511626353
1000134,371483,1601543,buy,1512227509
1000135,1161410,4301450,buy,1511874256
1000139,1766489,895939,buy,1512092152
1000139,1584458,3189162,buy,1512306894
1000151,899111,4148053,buy,1511662828
1000151,2753529,801221,buy,1511769493
1000151,4828228,2033408,buy,1512272985
1000154,2727187,4069500,buy,1511667446
1000165,934383,4672807,buy,1511593950
1000165,3334782,4498047,buy,1512145600
1000169,3673639,4640311,buy,1512012064
1000186,3904698,2096639,buy,1512006077
1000191,2037794,3184456,buy,1511575522
1000191,1436096,3184456,buy,1511576101
1000191,363706,2975713,buy,1512206958
1000191,4879844,4282651,buy,1512210780
1000191,4319337,904454,buy,1512212670
1000194,3997987,1601543,buy,1511967873
1000204,4378276,316352,buy,1511663399
1000209,4893461,4801426,buy,1511839973
1000209,2313092,4217906,buy,1511847923
1000209,3513369,1464116,buy,1511850069
1000222,2397544,2355072,buy,1511616245
1000222,2397544,2355072,buy,1511655905
1000222,1341388,2355072,buy,1511739210
1000222,3461725,2520377,buy,1511739445
1000222,2821630,2735466,buy,1511951856
1000222,4429587,2735466,buy,1511951856
1000228,2730342,1046047,buy,1511592684
1000228,1880571,3378887,buy,1511848092
1000228,329628,1859277,buy,1511879601
1000228,3815973,4339722,buy,1511940698
1000228,4706681,4138583,buy,1512015806
1000236,5044003,4736474,buy,1512053678
1000251,2766083,3277224,buy,1511661534
1000251,4705577,4238676,buy,1511861432
1000251,855702,2728585,buy,1511861660
1000263,2076430,3231625,buy,1511701212
1000263,3238416,1994940,buy,1511751415
1000263,2378086,2578647,buy,1512217880
1000263,2853105,2926020,buy,1512219030
1000269,3921636,4756105,buy,1511881383
1000269,3559629,2520377,buy,1512266321
1000269,4834624,2520771,buy,1512267238
1000274,1760208,4470576,buy,1511679252
1000274,1109681,4801426,buy,1511748338
1000282,3303380,2777825,buy,1511748479
1000283,3263745,982926,buy,1511756717
1000291,5079166,1074254,buy,1511867206
1000291,1315997,4684862,buy,1512041017
1000296,2596189,1297992,buy,1512100060
100030,341797,965809,buy,1511626467
100030,2149396,965809,buy,1511626467
100030,2074546,965809,buy,1511626467
100030,2494086,965809,buy,1511626467
1000313,4960832,1851156,buy,1512170989
1000313,2742490,2939262,buy,1512172743
1000313,2190257,119741,buy,1512234111
1000313,1413154,3624696,buy,1512234111
1000313,4611654,2939262,buy,1512234196
1000317,4421027,4611962,buy,1511703515
1000317,587491,4242742,buy,1511705793
1000319,3195646,411153,buy,1512274374
1000328,2955267,1973012,buy,1512288509
1000332,1299999,2640118,buy,1512311996
1000335,1045779,1597811,buy,1511758860
1000335,2242589,4211233,buy,1511792645
1000335,253040,2485713,buy,1511792645
1000335,872404,194806,buy,1511956646
1000335,3629464,1299190,buy,1512016741
1000335,4747009,3439012,buy,1512229683
1000335,3210567,4145813,buy,1512307673
1000335,2068780,1859277,buy,1512307953
1000349,1963858,1807416,buy,1511929781
1000349,906282,634390,buy,1511931054
1000349,1545024,1216617,buy,1511931054
1000349,4350284,4069500,buy,1511931666
1000349,1545024,1216617,buy,1511931666
1000349,1486733,2194744,buy,1512042753
1000349,1486733,2194744,buy,1512131552
1000349,2583697,2033408,buy,1512191764
1000364,4382294,4804883,buy,1511858010
1000374,4289193,4159072,buy,1511543946
1000374,3345827,4159072,buy,1511543946
1000374,961402,4159072,buy,1511543946
1000398,1616868,3855599,buy,1511789567
1000398,870334,3445085,buy,1511875830
1000398,2028325,2465336,buy,1512306625
1000398,2627840,2465336,buy,1512307174
1000408,1360115,4357323,buy,1511742767
1000408,2049359,1299190,buy,1511771047
1000408,3732060,245312,buy,1511771150
1000417,4947782,2945933,buy,1511620944
1000417,2641045,1817004,buy,1511716124
1000417,1367549,4918438,buy,1511718900
1000417,3687513,4238377,buy,1511860580
1000417,3582107,4145813,buy,1511946845
1000417,4721843,3738615,buy,1511969769
1000417,3822586,3624696,buy,1512017573
1000417,3543955,1833532,buy,1512055611
1000417,3949923,2085893,buy,1512056241
1000417,1982333,3299155,buy,1512096383
1000417,137093,1349634,buy,1512313172
1000420,1962765,4756105,buy,1511875532
1000429,4943232,2013232,buy,1511673701
1000429,1826964,2885642,buy,1512274789
1000429,742995,4193511,buy,1512284467
1000436,4497087,669425,buy,1511794215
1000436,1421962,2440115,buy,1511865151
1000436,4055511,801221,buy,1511924614
1000436,492803,4818107,buy,1511926054
1000436,162994,669425,buy,1512039726
1000436,1542569,3619575,buy,1512184723
1000436,1004566,2920476,buy,1512290580
1000438,4395247,1521931,buy,1512278041
1000438,2487684,1521931,buy,1512278114
